financial_period,financial_year,period,days,period_end,line,lch_network,ejt_network,operated_kms_network,pct_scheduled,lch_line,ejt_line,operated_kms_line,station_alloc_ridership,period_year,upgrade_year,train_upgrade_year,signalling_upgrade_year,post_upgrade,post_train_upgrade,post_signalling_upgrade
05_11/12,2011/2012,5.0,28.0,2011-08-20,Central,2059198.2199999995,5.31865485540355,5595331.57991197,0.971483834155695,,0.6137773462209634,873367.0895500963,29536067.914139256,2011.0,,,,0,0,0
05_11/12,2011/2012,5.0,28.0,2011-08-20,Waterloo & City,2059198.2199999995,5.31865485540355,5595331.57991197,0.971483834155695,,0.3012955806311998,23667.45874986439,6144815.314395557,2011.0,,,,0,0,0
05_11/12,2011/2012,5.0,28.0,2011-08-20,Circle & Hammersmith & City,2059198.2199999995,5.31865485540355,5595331.57991197,0.971483834155695,,0.7062525619282384,261378.38905773108,,2011.0,2023.0,2017.0,2023.0,0,0,0
05_11/12,2011/2012,5.0,28.0,2011-08-20,District,2059198.2199999995,5.31865485540355,5595331.57991197,0.971483834155695,,0.5956435995985768,662529.1243626493,37829383.91200342,2011.0,2023.0,2017.0,2023.0,0,0,0
05_11/12,2011/2012,5.0,28.0,2011-08-20,Jubilee,2059198.2199999995,5.31865485540355,5595331.57991197,0.971483834155695,,0.3736268569498274,724455.8973915967,11234650.25587356,2011.0,2011.0,2011.0,2011.0,1,1,1
05_11/12,2011/2012,5.0,28.0,2011-08-20,Metropolitan,2059198.2199999995,5.31865485540355,5595331.57991197,0.971483834155695,,0.8708638506034869,527101.0111817721,22824522.44211876,2011.0,,2012.0,,0,0,0
05_11/12,2011/2012,5.0,28.0,2011-08-20,Northern,2059198.2199999995,5.31865485540355,5595331.57991197,0.971483834155695,,0.3381204870296559,976250.8653487684,28680695.74626228,2011.0,2014.0,2014.0,2014.0,0,0,0
05_11/12,2011/2012,5.0,28.0,2011-08-20,Piccadilly,2059198.2199999995,5.31865485540355,5595331.57991197,0.971483834155695,,0.6113764259025463,791735.7295374564,19383124.505766768,2011.0,,,,0,0,0
05_11/12,2011/2012,5.0,28.0,2011-08-20,Victoria,2059198.2199999995,5.31865485540355,5595331.57991197,0.971483834155695,,0.4149444259035076,507148.5517907002,8078828.528406664,2011.0,2016.0,2009.0,2016.0,0,1,0
06_11/12,2011/2012,6.0,28.0,2011-09-17,Bakerloo,2462085.35,5.580949441031329,5516501.885710272,0.9678011882247776,,0.517054344850585,244207.7832004045,8720929.456813328,2011.0,,,,0,0,0
06_11/12,2011/2012,6.0,28.0,2011-09-17,Central,2462085.35,5.580949441031329,5516501.885710272,0.9678011882247776,,0.6440463670676885,861062.6783437557,29466977.69679624,2011.0,,,,0,0,0
06_11/12,2011/2012,6.0,28.0,2011-09-17,Waterloo & City,2462085.35,5.580949441031329,5516501.885710272,0.9678011882247776,,0.3161542623132518,23334.020327290607,6130441.477402819,2011.0,,,,0,0,0
06_11/12,2011/2012,6.0,28.0,2011-09-17,Circle & Hammersmith & City,2462085.35,5.580949441031329,5516501.885710272,0.9678011882247776,,0.7410820870837054,257695.96591871176,,2011.0,2023.0,2017.0,2023.0,0,0,0
06_11/12,2011/2012,6.0,28.0,2011-09-17,District,2462085.35,5.580949441031329,5516501.885710272,0.9678011882247776,,0.6250183372692907,653195.0987508824,37740894.12507476,2011.0,2023.0,2017.0,2023.0,0,0,0
06_11/12,2011/2012,6.0,28.0,2011-09-17,Jubilee,2462085.35,5.580949441031329,5516501.885710272,0.9678011882247776,,0.3920526251726892,714249.4179294994,11208370.37223409,2011.0,2011.0,2011.0,2011.0,1,1,1
06_11/12,2011/2012,6.0,28.0,2011-09-17,Metropolitan,2462085.35,5.580949441031329,5516501.885710272,0.9678011882247776,,0.9138113399673032,519674.9612808083,22771131.746347714,2011.0,,2012.0,,0,0,0
06_11/12,2011/2012,6.0,28.0,2011-09-17,Northern,2462085.35,5.580949441031329,5516501.885710272,0.9678011882247776,,0.354795224430148,962496.9785450132,28613606.3994874,2011.0,2014.0,2014.0,2014.0,0,0,0
06_11/12,2011/2012,6.0,28.0,2011-09-17,Piccadilly,2462085.35,5.580949441031329,5516501.885710272,0.9678011882247776,,0.6415270430518769,780581.3797805869,19337783.863648016,2011.0,,,,0,0,0
06_11/12,2011/2012,6.0,28.0,2011-09-17,Victoria,2462085.35,5.580949441031329,5516501.885710272,0.9678011882247776,,0.4354078098247903,500003.6016333185,8059930.683895771,2011.0,2016.0,2009.0,2016.0,0,1,0
