Station,year,annual_entry_exit
East Putney                        ,2016,6369310
Edgware                            ,2016,5188838
Edgware Road (Cir)                 ,2016,6963367
Elephant & Castle                  ,2016,23295457
Elm Park                           ,2016,3096321
Epping                             ,2016,3770408
Euston                             ,2016,43099154
Euston Square                      ,2016,14395409
Fairlop                            ,2016,1197309
Farringdon                         ,2016,15874802
Finchley Central                   ,2016,6949909
Finchley Road                      ,2016,9998400
Finsbury Park                      ,2016,32738968
Fulham Broadway                    ,2016,10153787
Gants Hill                         ,2016,7143148
Gloucester Road                    ,2016,13975040
Golders Green                      ,2016,8511338
Goldhawk Road                      ,2016,2123640
Goodge Street                      ,2016,8463593
Grange Hill                        ,2016,663262
Great Portland Street              ,2016,8657946
Greenford                          ,2016,4806850
Green Park                         ,2016,41241175
Gunnersbury                        ,2016,5784841
Hainault                           ,2016,3738019
Hammersmith (Dis)                  ,2016,29417701
Hampstead                          ,2016,4637096
Hanger Lane                        ,2016,4095538
Harlesden                          ,2016,3099292
Harrow & Wealdstone                ,2016,4963518
Harrow-on-the-Hill                 ,2016,10665325
Wood Lane                          ,2016,3678778
Hendon Central                     ,2016,8130263
High Barnet                        ,2016,3647152
Highbury & Islington               ,2016,20222247
Highgate                           ,2016,5769258
High Street Kensington             ,2016,13103200
Hillingdon                         ,2016,1772004
Holborn                            ,2016,33956572
Holland Park                       ,2016,3225381
Holloway Road                      ,2016,6719981
Hornchurch                         ,2016,2108498
Hounslow Central                   ,2016,3825932
Hounslow East                      ,2016,3870493
Hounslow West                      ,2016,3545471
Hyde Park Corner                   ,2016,6310733
Ickenham                           ,2016,1166906
Kennington                         ,2016,5592864
Kensal Green                       ,2016,2724536
Kensington (Olympia)               ,2016,2047039
Southwark                          ,2016,17861867
Kenton                             ,2016,2078584
Kew Gardens                        ,2016,4176827
Kilburn                            ,2016,8582187
Kilburn Park                       ,2016,3428178
Kingsbury                          ,2016,5122530
King's Cross St. Pancras           ,2016,95030793
Knightsbridge                      ,2016,19086044
Ladbroke Grove                     ,2016,5801892
Lambeth North                      ,2016,0
Lancaster Gate                     ,2016,7060983
Latimer Road                       ,2016,2627529
Leicester Square                   ,2016,37843681
Leyton                             ,2016,14331098
Leytonstone                        ,2016,11300919
Liverpool Street                   ,2016,71614231
Waterloo                           ,2016,100362256
Loughton                           ,2016,3448907
Maida Vale                         ,2016,3409091
Manor House                        ,2016,9122653
Mansion House                      ,2016,6136459
Marble Arch                        ,2016,14108617
Marylebone                         ,2016,12948293
Mile End                           ,2016,15746922
Mill Hill East                     ,2016,1340993
Moorgate                           ,2016,27565959
Moor Park                          ,2016,914852
Morden                             ,2016,10056185
Mornington Crescent                ,2016,5039573
Neasden                            ,2016,3749439
Newbury Park                       ,2016,5429546
North Acton                        ,2016,6530887
North Ealing                       ,2016,905402
Northfields                        ,2016,3913283
North Harrow                       ,2016,1968198
Northolt                           ,2016,5157171
North Wembley                      ,2016,1791287
Northwick Park                     ,2016,4651799
Northwood                          ,2016,2488831
Northwood Hills                    ,2016,1910904
Notting Hill Gate                  ,2016,17184657
Oakwood                            ,2016,2875067
Old Street                         ,2016,25966550
Osterley                           ,2016,2315575
Oval                               ,2016,6447853
Kentish Town                       ,2016,8358081
Paddington                         ,2016,49480436
Park Royal                         ,2016,2015314
Parsons Green                      ,2016,6746851
Perivale                           ,2016,2460144
Piccadilly Circus                  ,2016,41291525
Pinner                             ,2016,3198703
Plaistow                           ,2016,5490616
Preston Road                       ,2016,3308379
Putney Bridge                      ,2016,5416663
Queensbury                         ,2016,4675024
Queen's Park                       ,2016,5636721
Queensway                          ,2016,8707156
Ravenscourt Park                   ,2016,3178278
Rayners Lane                       ,2016,4460978
Redbridge                          ,2016,3054243
Regent's Park                      ,2016,3346006
Richmond                           ,2016,8112159
Rickmansworth                      ,2016,2455761
Roding Valley                      ,2016,367335
Royal Oak                          ,2016,2545583
Ruislip                            ,2016,1948970
Ruislip Gardens                    ,2016,1072221
Ruislip Manor                      ,2016,1993852
Russell Square                     ,2016,12345236
St. James's Park                   ,2016,14934536
St. John's Wood                    ,2016,7791962
St. Paul's                         ,2016,18422362
Seven Sisters                      ,2016,18605749
Shepherd's Bush (Cen)              ,2016,22848359
Sloane Square                      ,2016,17147936
Snaresbrook                        ,2016,2694225
South Ealing                       ,2016,3617189
Southfields                        ,2016,6275587
Southgate                          ,2016,5647834
South Harrow                       ,2016,2484237
South Kensington                   ,2016,33603151
South Kenton                       ,2016,1170483
South Ruislip                      ,2016,1758094
South Wimbledon                    ,2016,4759428
South Woodford                     ,2016,5247294
Stamford Brook                     ,2016,2700007
Stanmore                           ,2016,4040589
Stepney Green                      ,2016,6411775
Stockwell                          ,2016,11423478
Stonebridge Park                   ,2016,2530036
Charing Cross                      ,2016,8126588
Stratford                          ,2016,67047270
Sudbury Hill                       ,2016,1976543
Sudbury Town                       ,2016,1996547
Swiss Cottage                      ,2016,7578603
Temple                             ,2016,8223970
Theydon Bois                       ,2016,850065
Tooting Bec                        ,2016,7922887
Tooting Broadway                   ,2016,15922071
London Bridge                      ,2016,70735683
Tottenham Hale                     ,2016,13213806
Totteridge & Whetstone             ,2016,2232086
Victoria                           ,2016,83501204
Tufnell Park                       ,2016,3707186
Turnham Green                      ,2016,5650263
Turnpike Lane                      ,2016,10857089
Upminster                          ,2016,5339344
Upminster Bridge                   ,2016,1159376
Upney                              ,2016,2719998
Upton Park                         ,2016,10141620
Uxbridge                           ,2016,8452417
Tower Hill                         ,2016,21834402
Walthamstow Central                ,2016,22766326
Wanstead                           ,2016,2960642
Warren Street                      ,2016,20346625
Warwick Avenue                     ,2016,4506260
Oxford Circus                      ,2016,83258977
Watford                            ,2016,1836559
Wembley Central                    ,2016,5769748
Wembley Park                       ,2016,15103629
West Acton                         ,2016,1820883
Westbourne Park                    ,2016,3978228
West Brompton                      ,2016,6098173
West Finchley                      ,2016,1665191
West Ham                           ,2016,3459634
West Hampstead                     ,2016,11039789
West Harrow                        ,2016,1489512
West Kensington                    ,2016,5060671
Westminster                        ,2016,28378426
West Ruislip                       ,2016,1666851
Whitechapel                        ,2016,14369235
White City                         ,2016,8953281
Willesden Green                    ,2016,8972604
Willesden Junction                 ,2016,4728227
Wimbledon                          ,2016,13395119
Wimbledon Park                     ,2016,1893927
Woodford                           ,2016,5692577
Wood Green                         ,2016,13204130
Woodside Park                      ,2016,2869951
Hammersmith (H&C)                  ,2016,10567650
Edgware Road (Bak)                 ,2016,5006662
Shepherd's Bush (H&C)              ,2016,3569302
Pimlico                            ,2016,11485039
Vauxhall                           ,2016,32234468
Brixton                            ,2016,33460967
Hatton Cross                       ,2016,3248674
Heathrow Terminals 123             ,2016,7731054
Heathrow Terminal 4                ,2016,2278746
Heathrow Terminal 5                ,2016,4452155
Tottenham Court Road               ,2016,39346254
Bermondsey                         ,2016,11068171
Canada Water                       ,2016,14438625
North Greenwich                    ,2016,26452132
Canary Wharf                       ,2016,54785734
Canning Town                       ,2016,11913321
Acton Town                         ,2015,6235045
Aldgate                            ,2015,7527810
Aldgate East                       ,2015,12839311
Alperton                           ,2015,3205455
Amersham                           ,2015,2287149
Angel                              ,2015,19756365
Archway                            ,2015,9794439
Arnos Grove                        ,2015,4550587
Arsenal                            ,2015,2802635
Baker Street                       ,2015,29379132
Balham                             ,2015,14178948
Bank & Monument                    ,2015,57512971
Barbican                           ,2015,11283478
Barking                            ,2015,16055212
Barkingside                        ,2015,1406286
Barons Court                       ,2015,7295186
Bayswater                          ,2015,5219590
Becontree                          ,2015,3490288
Belsize Park                       ,2015,6155599
Bermondsey                         ,2015,10163683
Bethnal Green                      ,2015,16164737
Blackfriars                        ,2015,13702647
Blackhorse Road                    ,2015,8360092
Bond Street                        ,2015,37119274
Borough                            ,2015,5358351
Boston Manor                       ,2015,2242854
Bounds Green                       ,2015,6462300
Bow Road                           ,2015,6102443
Brent Cross                        ,2015,2566618
Brixton                            ,2015,30830921
Bromley-by-Bow                     ,2015,3685840
Buckhurst Hill                     ,2015,2063838
Burnt Oak                          ,2015,4383772
Caledonian Road                    ,2015,6126683
Camden Town                        ,2015,21898497
Canada Water                       ,2015,12777430
Canary Wharf                       ,2015,54441424
Canning Town                       ,2015,10916031
Cannon Street                      ,2015,7485065
Canons Park                        ,2015,2786006
Chalfont & Latimer                 ,2015,1437534
Chalk Farm                         ,2015,5752495
Chancery Lane                      ,2015,16355373
Charing Cross                      ,2015,20690327
Chesham                            ,2015,875261
Chigwell                           ,2015,559061
Chiswick Park                      ,2015,2148469
Chorleywood                        ,2015,1137678
Clapham Common                     ,2015,10072099
Clapham North                      ,2015,7026138
Clapham South                      ,2015,8584904
Cockfosters                        ,2015,1847585
Colindale                          ,2015,5946531
Colliers Wood                      ,2015,6515664
Covent Garden                      ,2015,14669250
Croxley                            ,2015,1059406
Dagenham East                      ,2015,2858892
Dagenham Heathway                  ,2015,6065247
Debden                             ,2015,2462500
Dollis Hill                        ,2015,3085602
Ealing Broadway                    ,2015,16840132
Ealing Common                      ,2015,3516563
Earl's Court                       ,2015,20501361
East Acton                         ,2015,4009433
East Finchley                      ,2015,7342555
East Ham                           ,2015,15094316
East Putney                        ,2015,5995120
Eastcote                           ,2015,2833742
Edgware                            ,2015,4776513
Edgware Road (Bak)                 ,2015,4503184
Edgware Road (Cir)                 ,2015,7210074
Elephant & Castle                  ,2015,19088917
Elm Park                           ,2015,3004341
Embankment                         ,2015,21562479
Epping                             ,2015,3330335
Euston                             ,2015,42159332
Euston Square                      ,2015,14878866
Fairlop                            ,2015,1134269
Farringdon                         ,2015,23775738
Finchley Central                   ,2015,5779925
Finchley Road                      ,2015,9951123
Finsbury Park                      ,2015,28847088
Fulham Broadway                    ,2015,10714422
Gants Hill                         ,2015,6588251
Gloucester Road                    ,2015,14203922
Golders Green                      ,2015,8700123
Goldhawk Road                      ,2015,2088026
Goodge Street                      ,2015,8841266
Grange Hill                        ,2015,657661
Great Portland Street              ,2015,8343311
Green Park                         ,2015,39552887
Greenford                          ,2015,4716521
Gunnersbury                        ,2015,5410585
Hainault                           ,2015,3607791
Hammersmith (Dis)                  ,2015,28834401
Hammersmith (H&C)                  ,2015,10703965
Hampstead                          ,2015,4557566
Hanger Lane                        ,2015,3949461
Harlesden                          ,2015,3007807
Harrow & Wealdstone                ,2015,5002877
Harrow-on-the-Hill                 ,2015,10259516
Hatton Cross                       ,2015,3199955
Heathrow Terminal 4                ,2015,2347501
Heathrow Terminal 5                ,2015,3902026
Heathrow Terminals 123             ,2015,7489313
Hendon Central                     ,2015,7970028
High Barnet                        ,2015,3648827
High Street Kensington             ,2015,13362540
Highbury & Islington               ,2015,18443978
Highgate                           ,2015,5482772
Hillingdon                         ,2015,1856117
Holborn                            ,2015,40530196
Holland Park                       ,2015,3366174
Holloway Road                      ,2015,6728651
Hornchurch                         ,2015,2023958
Hounslow Central                   ,2015,4010773
Hounslow East                      ,2015,4515142
Hounslow West                      ,2015,3545552
Hyde Park Corner                   ,2015,7436827
Ickenham                           ,2015,1190362
Kennington                         ,2015,5529121
Kensal Green                       ,2015,2563193
Kensington (Olympia)               ,2015,2008711
Kentish Town                       ,2015,10493555
Kenton                             ,2015,2116417
Kew Gardens                        ,2015,3549683
Kilburn                            ,2015,8269438
Kilburn Park                       ,2015,3417148
King's Cross St. Pancras           ,2015,93413018
Kingsbury                          ,2015,4968747
Knightsbridge                      ,2015,20296928
Ladbroke Grove                     ,2015,5813508
Lambeth North                      ,2015,3285854
Lancaster Gate                     ,2015,6293475
Latimer Road                       ,2015,2572535
Leicester Square                   ,2015,43745951
Leyton                             ,2015,14406501
Leytonstone                        ,2015,11244737
Liverpool Street                   ,2015,73257321
London Bridge                      ,2015,71964428
Loughton                           ,2015,3272688
Maida Vale                         ,2015,3382758
Manor House                        ,2015,9275642
Mansion House                      ,2015,5561213
Marble Arch                        ,2015,15442682
Marylebone                         ,2015,12525312
Mile End                           ,2015,16310716
Mill Hill East                     ,2015,1318158
Moor Park                          ,2015,886390
Moorgate                           ,2015,26062630
Morden                             ,2015,9275569
Mornington Crescent                ,2015,4531089
Neasden                            ,2015,3672470
Newbury Park                       ,2015,4327727
North Acton                        ,2015,6106253
North Ealing                       ,2015,892594
North Greenwich                    ,2015,26377071
North Harrow                       ,2015,1937838
North Wembley                      ,2015,1836732
Northfields                        ,2015,4080122
Northolt                           ,2015,5026000
Northwick Park                     ,2015,4588128
Northwood                          ,2015,2475743
Northwood Hills                    ,2015,1720439
Notting Hill Gate                  ,2015,16683962
Oakwood                            ,2015,2842657
Old Street                         ,2015,25143510
Osterley                           ,2015,2350196
Oval                               ,2015,6968322
Oxford Circus                      ,2015,92355623
Paddington                         ,2015,49637302
Park Royal                         ,2015,2019382
Parsons Green                      ,2015,6822161
Perivale                           ,2015,2405584
Piccadilly Circus                  ,2015,42796831
Pimlico                            ,2015,11264698
Pinner                             ,2015,3084213
Plaistow                           ,2015,7063495
Preston Road                       ,2015,3427709
Putney Bridge                      ,2015,5756910
Queen's Park                       ,2015,5771615
Queensbury                         ,2015,4525278
Queensway                          ,2015,7656619
Ravenscourt Park                   ,2015,3189008
Rayners Lane                       ,2015,4512905
Redbridge                          ,2015,2934539
Regent's Park                      ,2015,3541481
Richmond                           ,2015,8661325
Rickmansworth                      ,2015,2442771
Roding Valley                      ,2015,260651
Royal Oak                          ,2015,2491199
Ruislip                            ,2015,1903105
Ruislip Gardens                    ,2015,1112623
Ruislip Manor                      ,2015,2005867
Russell Square                     ,2015,13328942
Seven Sisters                      ,2015,17522713
Shepherd's Bush (Cen)              ,2015,22257246
Shepherd's Bush (H&C)              ,2015,3412590
Sloane Square                      ,2015,17197513
Snaresbrook                        ,2015,2674477
South Ealing                       ,2015,3699819
South Harrow                       ,2015,2583973
South Kensington                   ,2015,33869744
South Kenton                       ,2015,957195
South Ruislip                      ,2015,1718085
South Wimbledon                    ,2015,4570440
South Woodford                     ,2015,5148679
Southfields                        ,2015,6173897
Southgate                          ,2015,5555527
Southwark                          ,2015,17937654
St. James's Park                   ,2015,15698186
St. John's Wood                    ,2015,7879484
St. Paul's                         ,2015,17371372
Stamford Brook                     ,2015,2695977
Stanmore                           ,2015,3973686
Stepney Green                      ,2015,5846372
Stockwell                          ,2015,11082161
Stonebridge Park                   ,2015,2674890
Stratford                          ,2015,61442630
Sudbury Hill                       ,2015,2217946
Sudbury Town                       ,2015,2179203
Swiss Cottage                      ,2015,7710830
Temple                             ,2015,8595799
Theydon Bois                       ,2015,854702
Tooting Bec                        ,2015,7933544
Tooting Broadway                   ,2015,15737978
Tottenham Court Road               ,2015,16249800
Tottenham Hale                     ,2015,11954313
Totteridge & Whetstone             ,2015,2334480
Tower Hill                         ,2015,22176713
Tufnell Park                       ,2015,0
Turnham Green                      ,2015,6445923
Turnpike Lane                      ,2015,10790301
Upminster                          ,2015,5140645
Upminster Bridge                   ,2015,1146772
Upney                              ,2015,2684747
Upton Park                         ,2015,11413623
Uxbridge                           ,2015,8341531
Vauxhall                           ,2015,26834959
Victoria                           ,2015,82885560
Walthamstow Central                ,2015,18333582
Wanstead                           ,2015,2903560
Warren Street                      ,2015,19917362
Warwick Avenue                     ,2015,4501822
Waterloo                           ,2015,95138374
Watford                            ,2015,1845823
Wembley Central                    ,2015,5789849
Wembley Park                       ,2015,14542576
West Acton                         ,2015,1736847
West Brompton                      ,2015,5168452
West Finchley                      ,2015,1613941
West Ham                           ,2015,3814553
West Hampstead                     ,2015,11160117
West Harrow                        ,2015,1329655
West Kensington                    ,2015,5321523
West Ruislip                       ,2015,1564634
Westbourne Park                    ,2015,3794960
Westminster                        ,2015,25614455
White City                         ,2015,7704418
Whitechapel                        ,2015,11702345
Willesden Green                    ,2015,8960771
Willesden Junction                 ,2015,4597796
Wimbledon                          ,2015,15631389
Wimbledon Park                     ,2015,1821025
Wood Green                         ,2015,13189190
Wood Lane                          ,2015,3698414
Woodford                           ,2015,6034086
Woodside Park                      ,2015,2816775
Acton Town,2014,6059017
Aldgate,2014,7221566
Aldgate East,2014,12248009
Alperton,2014,3171235
Amersham,2014,2439993
Angel,2014,19217171
Archway,2014,8943726
Arnos Grove,2014,4713904
Arsenal,2014,2900614
Baker Street,2014,32175422
Balham,2014,13471439
Bank & Monument,2014,52306067
Barbican,2014,11444738
Barking,2014,15592496
Barkingside,2014,1351966
Barons Court,2014,7500664
Bayswater,2014,5691226
Becontree,2014,3395647
Belsize Park,2014,5927817
Bermondsey,2014,9379438
Bethnal Green,2014,16076636
Blackfriars,2014,13142562
Blackhorse Road,2014,8633193
Bond Street,2014,19799777
Borough,2014,5309004
Boston Manor,2014,2278211
Bounds Green,2014,6564869
Bow Road,2014,5765573
Brent Cross,2014,2400107
Brixton,2014,29373458
Bromley-by-Bow,2014,3414885
Buckhurst Hill,2014,2061303
Burnt Oak,2014,4083381
Caledonian Road,2014,6003408
Camden Town,2014,23369124
Canada Water,2014,11814216
Canary Wharf,2014,51809003
Canning Town,2014,10100164
Cannon Street,2014,5299813
Canons Park,2014,2597229
Chalfont & Latimer,2014,1476940
Chalk Farm,2014,5893313
Chancery Lane,2014,16592090
Charing Cross,2014,21301822
Chesham,2014,813242
Chigwell,2014,534259
Chiswick Park,2014,2394985
Chorleywood,2014,1056777
Clapham Common,2014,8938345
Clapham North,2014,6668320
Clapham South,2014,8470361
Cockfosters,2014,1945096
Colindale,2014,5397362
Colliers Wood,2014,6312901
Covent Garden,2014,15382692
Croxley,2014,1030296
Dagenham East,2014,2662063
Dagenham Heathway,2014,5800005
Debden,2014,2476133
Dollis Hill,2014,3079019
Ealing Broadway,2014,17380138
Ealing Common,2014,3569884
Earl's Court,2014,22005021
East Acton,2014,4016859
East Finchley,2014,7323942
East Ham,2014,14816407
East Putney,2014,6140774
Eastcote,2014,2758170
Edgware,2014,4585383
Edgware Road (Bak),2014,4261079
Edgware Road (Cir),2014,7330752
Elephant & Castle,2014,18482055
Elm Park,2014,2992367
Embankment,2014,19661756
Epping,2014,3071273
Euston,2014,41331265
Euston Square,2014,14328440
Fairlop,2014,1088742
Farringdon,2014,23628728
Finchley Central,2014,5676484
Finchley Road,2014,10061287
Finsbury Park,2014,27995495
Fulham Broadway,2014,10766495
Gants Hill,2014,6560896
Gloucester Road,2014,11963929
Golders Green,2014,8250104
Goldhawk Road,2014,2095140
Goodge Street,2014,8378694
Grange Hill,2014,600016
Great Portland Street,2014,8427474
Green Park,2014,39830418
Greenford,2014,4629465
Gunnersbury,2014,5411649
Hainault,2014,3481574
Hammersmith (Dis),2014,29261687
Hammersmith (H&C),2014,9719084
Hampstead,2014,4364454
Hanger Lane,2014,3843017
Harlesden,2014,2773017
Harrow & Wealdstone,2014,4512161
Harrow-on-the-Hill,2014,9868855
Hatton Cross,2014,3223047
Heathrow Terminal 4,2014,7655649
Heathrow Terminal 5,2014,2125674
Heathrow Terminals 123,2014,4222451
Hendon Central,2014,7404483
High Barnet,2014,3234777
High Street Kensington,2014,13784783
Highbury & Islington,2014,18283137
Highgate,2014,5042899
Hillingdon,2014,1798747
Holborn,2014,36315818
Holland Park,2014,3161254
Holloway Road,2014,6662884
Hornchurch,2014,2145267
Hounslow Central,2014,4009715
Hounslow East,2014,4666573
Hounslow West,2014,3610222
Hyde Park Corner,2014,5836879
Ickenham,2014,1155563
Kennington,2014,4958303
Kensal Green,2014,2279364
Kensington (Olympia),2014,1947507
Kentish Town,2014,7719158
Kenton,2014,1957589
Kew Gardens,2014,3561549
Kilburn,2014,7865471
Kilburn Park,2014,3381792
King's Cross St. Pancras,2014,91984534
Kingsbury,2014,4586917
Knightsbridge,2014,21471485
Ladbroke Grove,2014,6077566
Lambeth North,2014,3571716
Lancaster Gate,2014,6551701
Latimer Road,2014,2389740
Leicester Square,2014,43314547
Leyton,2014,14067249
Leytonstone,2014,11054539
Liverpool Street,2014,73661457
London Bridge,2014,74976665
Loughton,2014,3255416
Maida Vale,2014,3448597
Manor House,2014,9392025
Mansion House,2014,6195631
Marble Arch,2014,16106113
Marylebone,2014,13295479
Mile End,2014,15596293
Mill Hill East,2014,1286493
Moor Park,2014,886420
Moorgate,2014,25895151
Morden,2014,8617393
Mornington Crescent,2014,4756065
Neasden,2014,3413900
Newbury Park,2014,4619010
North Acton,2014,5678995
North Ealing,2014,894137
North Greenwich,2014,24272586
North Harrow,2014,1816014
North Wembley,2014,1660434
Northfields,2014,4210924
Northolt,2014,4992642
Northwick Park,2014,4440388
Northwood,2014,2462889
Northwood Hills,2014,1629043
Notting Hill Gate,2014,17400155
Oakwood,2014,2935164
Old Street,2014,23276520
Osterley,2014,2458246
Oval,2014,6397929
Oxford Circus,2014,98511630
Paddington,2014,49283385
Park Royal,2014,1976904
Parsons Green,2014,6799064
Perivale,2014,2337555
Piccadilly Circus,2014,42932327
Pimlico,2014,11419311
Pinner,2014,2837149
Plaistow,2014,6786121
Preston Road,2014,3474593
Putney Bridge,2014,5932349
Queen's Park,2014,5844120
Queensbury,2014,4195103
Queensway,2014,7588751
Ravenscourt Park,2014,2907957
Rayners Lane,2014,4371243
Redbridge,2014,2908558
Regent's Park,2014,3711179
Richmond,2014,8448615
Rickmansworth,2014,2419354
Roding Valley,2014,255057
Royal Oak,2014,2703935
Ruislip,2014,1895875
Ruislip Gardens,2014,1084140
Ruislip Manor,2014,1975295
Russell Square,2014,13076625
Seven Sisters,2014,15968957
Shepherd's Bush (Cen),2014,22869844
Shepherd's Bush (H&C),2014,3662770
Sloane Square,2014,16761977
Snaresbrook,2014,2781855
South Ealing,2014,3700360
South Harrow,2014,2503648
South Kensington,2014,36461844
South Kenton,2014,1102908
South Ruislip,2014,1760835
South Wimbledon,2014,4280132
South Woodford,2014,5031350
Southfields,2014,6134110
Southgate,2014,5633661
Southwark,2014,14145874
St. James's Park,2014,15730145
St. John's Wood,2014,7617570
St. Paul's,2014,17538974
Stamford Brook,2014,2672587
Stanmore,2014,3891298
Stepney Green,2014,5427571
Stockwell,2014,10520406
Stonebridge Park,2014,2610664
Stratford,2014,59308320
Sudbury Hill,2014,2211298
Sudbury Town,2014,2103309
Swiss Cottage,2014,7282024
Temple,2014,8135916
Theydon Bois,2014,849834
Tooting Bec,2014,7557957
Tooting Broadway,2014,15114746
Tottenham Court Road,2014,36762272
Tottenham Hale,2014,11911123
Totteridge & Whetstone,2014,2241508
Tower Hill,2014,26323869
Tufnell Park,2014,3939313
Turnham Green,2014,6459118
Turnpike Lane,2014,10768249
Upminster,2014,5156093
Upminster Bridge,2014,1142293
Upney,2014,2529793
Upton Park,2014,11414450
Uxbridge,2014,8074587
Vauxhall,2014,27509234
Victoria,2014,86730599
Walthamstow Central,2014,18052543
Wanstead,2014,3089871
