financial_period,financial_year,period,days,period_end,line,lch_network,ejt_network,operated_kms_network,pct_scheduled,lch_line,ejt_line,operated_kms_line
04_13/14,2013/2014,4.0,28.0,2013-07-20,Jubilee,1838159.4,5.552394937446757,5829549.933302664,0.9768330329281554,,0.3900467177174936,754781.3329744344
04_13/14,2013/2014,4.0,28.0,2013-07-20,Metropolitan,1838159.4,5.552394937446757,5829549.933302664,0.9768330329281554,,0.9091358937088442,549165.2497610891
04_13/14,2013/2014,4.0,28.0,2013-07-20,Northern,1838159.4,5.552394937446757,5829549.933302664,0.9768330329281554,,0.35297994163376645,1017116.3380937862
04_13/14,2013/2014,4.0,28.0,2013-07-20,Piccadilly,1838159.4,5.552394937446757,5829549.933302664,0.9768330329281554,,0.6382447187011586,824877.4721213268
04_13/14,2013/2014,4.0,28.0,2013-07-20,Victoria,1838159.4,5.552394937446757,5829549.933302664,0.9768330329281554,,0.43318007886292464,528377.5883595683
05_13/14,2013/2014,5.0,28.0,2013-08-17,Bakerloo,1749066.1300000006,4.801555678967792,5852635.737820264,0.9789340024039297,,0.44484639255099834,259087.95628527686
05_13/14,2013/2014,5.0,28.0,2013-08-17,Central,1749066.1300000006,4.801555678967792,5852635.737820264,0.9789340024039297,,0.554103656373739,913529.3177062052
05_13/14,2013/2014,5.0,28.0,2013-08-17,Waterloo & City,1749066.1300000006,4.801555678967792,5852635.737820264,0.9789340024039297,,0.27200251671865044,24755.818832996218
05_13/14,2013/2014,5.0,28.0,2013-08-17,Circle & Hammersmith & City,1749066.1300000006,4.801555678967792,5852635.737820264,0.9789340024039297,,0.6375880916707437,273398.0067213878
05_13/14,2013/2014,5.0,28.0,2013-08-17,District,1749066.1300000006,4.801555678967792,5852635.737820264,0.9789340024039297,,0.5377329392576954,692995.8618560747
05_13/14,2013/2014,5.0,28.0,2013-08-17,Jubilee,1749066.1300000006,4.801555678967792,5852635.737820264,0.9789340024039297,,0.3373014804635621,757770.3689216245
05_13/14,2013/2014,5.0,28.0,2013-08-17,Metropolitan,1749066.1300000006,4.801555678967792,5852635.737820264,0.9789340024039297,,0.7861952657493249,551340.0182679027
05_13/14,2013/2014,5.0,28.0,2013-08-17,Northern,1749066.1300000006,4.801555678967792,5852635.737820264,0.9789340024039297,,0.3052471703485669,1021144.2560671361
05_13/14,2013/2014,5.0,28.0,2013-08-17,Piccadilly,1749066.1300000006,4.801555678967792,5852635.737820264,0.9789340024039297,,0.5519361623544697,828144.0982400221
05_13/14,2013/2014,5.0,28.0,2013-08-17,Victoria,1749066.1300000006,4.801555678967792,5852635.737820264,0.9789340024039297,,0.3746020034800409,530470.0349216374
06_13/14,2013/2014,6.0,28.0,2013-09-14,Bakerloo,1401638.12,4.103969193242469,5855176.546351615,0.9840493009672625,,0.3802175821372141,259200.4343070075
06_13/14,2013/2014,6.0,28.0,2013-09-14,Central,1401638.12,4.103969193242469,5855176.546351615,0.9840493009672625,,0.4736015757521511,913925.9087786801
06_13/14,2013/2014,6.0,28.0,2013-09-14,Waterloo & City,1401638.12,4.103969193242469,5855176.546351615,0.9840493009672625,,0.23248505770482583,24766.56609260867
06_13/14,2013/2014,6.0,28.0,2013-09-14,Circle & Hammersmith & City,1401638.12,4.103969193242469,5855176.546351615,0.9840493009672625,,0.5449571058098189,273516.6971745529
06_13/14,2013/2014,6.0,28.0,2013-09-14,District,1401638.12,4.103969193242469,5855176.546351615,0.9840493009672625,,0.4596092525953419,693296.7125969839
06_13/14,2013/2014,6.0,28.0,2013-09-14,Jubilee,1401638.12,4.103969193242469,5855176.546351615,0.9840493009672625,,0.28829716392148935,758099.3402611049
06_13/14,2013/2014,6.0,28.0,2013-09-14,Metropolitan,1401638.12,4.103969193242469,5855176.546351615,0.9840493009672625,,0.6719741196882096,551579.3718659813
06_13/14,2013/2014,6.0,28.0,2013-09-14,Northern,1401638.12,4.103969193242469,5855176.546351615,0.9840493009672625,,0.2608998139753443,1021587.5660822784
06_13/14,2013/2014,6.0,28.0,2013-09-14,Piccadilly,1401638.12,4.103969193242469,5855176.546351615,0.9840493009672625,,0.4717489827018232,828503.6209720451
06_13/14,2013/2014,6.0,28.0,2013-09-14,Victoria,1401638.12,4.103969193242469,5855176.546351615,0.9840493009672625,,0.32017853895625076,530700.3282203721
07_13/14,2013/2014,7.0,28.0,2013-10-12,Bakerloo,1684079.5699999996,5.375539284212616,5915317.321194717,0.97994197299623,,0.4980238527843589,261862.78186143012
07_13/14,2013/2014,7.0,28.0,2013-10-12,Central,1684079.5699999996,5.375539284212616,5915317.321194717,0.97994197299623,,0.6203418582460767,923313.1940070621
07_13/14,2013/2014,7.0,28.0,2013-10-12,Waterloo & City,1684079.5699999996,5.375539284212616,5915317.321194717,0.97994197299623,,0.3045180170315406,25020.953037770978
07_13/14,2013/2014,7.0,28.0,2013-10-12,Circle & Hammersmith & City,1684079.5699999996,5.375539284212616,5915317.321194717,0.97994197299623,,0.7138061209901525,276326.09258225467
07_13/14,2013/2014,7.0,28.0,2013-10-12,District,1684079.5699999996,5.375539284212616,5915317.321194717,0.97994197299623,,0.6020141663787313,700417.8303227574
07_13/14,2013/2014,7.0,28.0,2013-10-12,Jubilee,1684079.5699999996,5.375539284212616,5915317.321194717,0.97994197299623,,0.37762289559552453,765886.0707500011
07_13/14,2013/2014,7.0,28.0,2013-10-12,Metropolitan,1684079.5699999996,5.375539284212616,5915317.321194717,0.97994197299623,,0.8801779711957854,557244.8561684419
07_13/14,2013/2014,7.0,28.0,2013-10-12,Northern,1684079.5699999996,5.375539284212616,5915317.321194717,0.97994197299623,,0.3417367756019035,1032080.685684718
07_13/14,2013/2014,7.0,28.0,2013-10-12,Piccadilly,1684079.5699999996,5.375539284212616,5915317.321194717,0.97994197299623,,0.617915259446043,837013.5009613379
07_13/14,2013/2014,7.0,28.0,2013-10-12,Victoria,1684079.5699999996,5.375539284212616,5915317.321194717,0.97994197299623,,0.41938236694249914,536151.355818942
08_13/14,2013/2014,8.0,28.0,2013-11-09,Bakerloo,1932918.5900000005,6.037763312914446,5841974.818210414,0.9718253582923698,,0.5593764622144607,258616.0123616206
08_13/14,2013/2014,8.0,28.0,2013-11-09,Central,1932918.5900000005,6.037763312914446,5841974.818210414,0.9718253582923698,,0.6967630809030457,911865.2704198906
08_13/14,2013/2014,8.0,28.0,2013-11-09,Waterloo & City,1932918.5900000005,6.037763312914446,5841974.818210414,0.9718253582923698,,0.34203223418983963,24710.72465555594
08_13/14,2013/2014,8.0,28.0,2013-11-09,Circle & Hammersmith & City,1932918.5900000005,6.037763312914446,5841974.818210414,0.9718253582923698,,0.8017414034170511,272899.99620070646
08_13/14,2013/2014,8.0,28.0,2013-11-09,District,1932918.5900000005,6.037763312914446,5841974.818210414,0.9718253582923698,,0.6761775619966823,691733.529207305
08_13/14,2013/2014,8.0,28.0,2013-11-09,Jubilee,1932918.5900000005,6.037763312914446,5841974.818210414,0.9718253582923698,,0.42414305702114197,756390.0457052664
08_13/14,2013/2014,8.0,28.0,2013-11-09,Metropolitan,1932918.5900000005,6.037763312914446,5841974.818210414,0.9718253582923698,,0.9886089529526705,550335.7200549685
08_13/14,2013/2014,8.0,28.0,2013-11-09,Northern,1932918.5900000005,6.037763312914446,5841974.818210414,0.9718253582923698,,0.3838360501731644,1019284.181852429
08_13/14,2013/2014,8.0,28.0,2013-11-09,Piccadilly,1932918.5900000005,6.037763312914446,5841974.818210414,0.9718253582923698,,0.6940375442758585,826635.5851440069
08_13/14,2013/2014,8.0,28.0,2013-11-09,Victoria,1932918.5900000005,6.037763312914446,5841974.818210414,0.9718253582923698,,0.4710469657705311,529503.7526086636
09_13/14,2013/2014,9.0,28.0,2013-12-07,Bakerloo,1731746.68,5.906907598271431,5999356.536360198,0.9758206110958808,,0.547253163747131,265583.07977171015
09_13/14,2013/2014,9.0,28.0,2013-12-07,Central,1731746.68,5.906907598271431,5999356.536360198,0.9758206110958808,,0.6816622188514615,936430.7516904452
09_13/14,2013/2014,9.0,28.0,2013-12-07,Waterloo & City,1731746.68,5.906907598271431,5999356.536360198,0.9758206110958808,,0.33461941091137054,25376.42699492497
09_13/14,2013/2014,9.0,28.0,2013-12-07,Circle & Hammersmith & City,1731746.68,5.906907598271431,5999356.536360198,0.9758206110958808,,0.7843653588678006,280251.87148631294
09_13/14,2013/2014,9.0,28.0,2013-12-07,District,1731746.68,5.906907598271431,5999356.536360198,0.9758206110958808,,0.6615228474086841,710368.7021952312
09_13/14,2013/2014,9.0,28.0,2013-12-07,Jubilee,1731746.68,5.906907598271431,5999356.536360198,0.9758206110958808,,0.4149506558021906,776767.0532564484
09_13/14,2013/2014,9.0,28.0,2013-12-07,Metropolitan,1731746.68,5.906907598271431,5999356.536360198,0.9758206110958808,,0.9671829505844756,565161.6622879722
09_13/14,2013/2014,9.0,28.0,2013-12-07,Northern,1731746.68,5.906907598271431,5999356.536360198,0.9758206110958808,,0.3755172178427005,1046743.5086750621
09_13/14,2013/2014,9.0,28.0,2013-12-07,Piccadilly,1731746.68,5.906907598271431,5999356.536360198,0.9758206110958808,,0.6789957524502259,848904.9944999289
09_13/14,2013/2014,9.0,28.0,2013-12-07,Victoria,1731746.68,5.906907598271431,5999356.536360198,0.9758206110958808,,0.4608380218053903,543768.4855021611
10_13/14,2013/2014,10.0,28.0,2014-01-04,Bakerloo,1420964.1999999997,4.361418897606134,5491314.719588272,0.9772526361438068,,0.4040693460043192,243092.782765131
10_13/14,2013/2014,10.0,28.0,2014-01-04,Central,1420964.1999999997,4.361418897606134,5491314.719588272,0.9772526361438068,,0.5033114931327013,857131.2505711889
10_13/14,2013/2014,10.0,28.0,2014-01-04,Waterloo & City,1420964.1999999997,4.361418897606134,5491314.719588272,0.9772526361438068,,0.2470692825264035,23227.482188003465
10_13/14,2013/2014,10.0,28.0,2014-01-04,Circle & Hammersmith & City,1420964.1999999997,4.361418897606134,5491314.719588272,0.9772526361438068,,0.5791432897637897,256519.38132995693
10_13/14,2013/2014,10.0,28.0,2014-01-04,District,1420964.1999999997,4.361418897606134,5491314.719588272,0.9772526361438068,,0.48844140523389235,650212.7498270234
10_13/14,2013/2014,10.0,28.0,2014-01-04,Jubilee,1420964.1999999997,4.361418897606134,5491314.719588272,0.9772526361438068,,0.3063825871119663,710988.308060484
10_13/14,2013/2014,10.0,28.0,2014-01-04,Metropolitan,1420964.1999999997,4.361418897606134,5491314.719588272,0.9772526361438068,,0.7141283197583811,517302.23670817126
10_13/14,2013/2014,10.0,28.0,2014-01-04,Northern,1420964.1999999997,4.361418897606134,5491314.719588272,0.9772526361438068,,0.27726654988727223,958102.4234822601
10_13/14,2013/2014,10.0,28.0,2014-01-04,Piccadilly,1420964.1999999997,4.361418897606134,5491314.719588272,0.9772526361438068,,0.5013426834368151,777017.4123803035
10_13/14,2013/2014,10.0,28.0,2014-01-04,Victoria,1420964.1999999997,4.361418897606134,5491314.719588272,0.9772526361438068,,0.3402639407505928,497720.6922757493
11_13/14,2013/2014,11.0,28.0,2014-02-01,Bakerloo,1522309.9600000004,5.262135097815479,5982702.698265744,0.9814631882778099,,0.4875173739279495,264845.83777178265
11_13/14,2013/2014,11.0,28.0,2014-02-01,Central,1522309.9600000004,5.262135097815479,5982702.698265744,0.9814631882778099,,0.6072549175684979,933831.2785584847
11_13/14,2013/2014,11.0,28.0,2014-02-01,Waterloo & City,1522309.9600000004,5.262135097815479,5982702.698265744,0.9814631882778099,,0.2980938024292675,25305.983622535303
11_13/14,2013/2014,11.0,28.0,2014-02-01,Circle & Hammersmith & City,1522309.9600000004,5.262135097815479,5982702.698265744,0.9814631882778099,,0.6987474267612922,279473.909839074
11_13/14,2013/2014,11.0,28.0,2014-02-01,District,1522309.9600000004,5.262135097815479,5982702.698265744,0.9814631882778099,,0.5893138728587425,708396.763157765
11_13/14,2013/2014,11.0,28.0,2014-02-01,Jubilee,1522309.9600000004,5.262135097815479,5982702.698265744,0.9814631882778099,,0.3696564358645519,774610.7965539776
11_13/14,2013/2014,11.0,28.0,2014-02-01,Metropolitan,1522309.9600000004,5.262135097815479,5982702.698265744,0.9814631882778099,,0.8616094404064581,563592.808901131
11_13/14,2013/2014,11.0,28.0,2014-02-01,Northern,1522309.9600000004,5.262135097815479,5982702.698265744,0.9814631882778099,,0.33452738153925904,1043837.8142369598
11_13/14,2013/2014,11.0,28.0,2014-02-01,Piccadilly,1522309.9600000004,5.262135097815479,5982702.698265744,0.9814631882778099,,0.6048795111136562,846548.4873894927
11_13/14,2013/2014,11.0,28.0,2014-02-01,Victoria,1522309.9600000004,5.262135097815479,5982702.698265744,0.9814631882778099,,0.4105349353458038,542259.0182345408
12_13/14,2013/2014,12.0,28.0,2014-03-01,Bakerloo,4932055.700000001,6.73131160509779,5678656.486178231,0.9252460381014197,,0.623631148917165,251386.13940084455
12_13/14,2013/2014,12.0,28.0,2014-03-01,Central,4932055.700000001,6.73131160509779,5678656.486178231,0.9252460381014197,,0.7767991505156274,886373.1518063647
12_13/14,2013/2014,12.0,28.0,2014-03-01,Waterloo & City,4932055.700000001,6.73131160509779,5678656.486178231,0.9252460381014197,,0.38132093425971897,24019.911281716682
12_13/14,2013/2014,12.0,28.0,2014-03-01,Circle & Hammersmith & City,4932055.700000001,6.73131160509779,5678656.486178231,0.9252460381014197,,0.8938361663772388,265270.79998230486
12_13/14,2013/2014,12.0,28.0,2014-03-01,District,4932055.700000001,6.73131160509779,5678656.486178231,0.9252460381014197,,0.7538490057136648,672395.4167168648
12_13/14,2013/2014,12.0,28.0,2014-03-01,Jubilee,4932055.700000001,6.73131160509779,5678656.486178231,0.9252460381014197,,0.4728636970318618,735244.3947097744
12_13/14,2013/2014,12.0,28.0,2014-03-01,Metropolitan,4932055.700000001,6.73131160509779,5678656.486178231,0.9252460381014197,,1.1021688948422315,534950.5267506535
12_13/14,2013/2014,12.0,28.0,2014-03-01,Northern,4932055.700000001,6.73131160509779,5678656.486178231,0.9252460381014197,,0.42792668825872704,990789.058606088
12_13/14,2013/2014,12.0,28.0,2014-03-01,Piccadilly,4932055.700000001,6.73131160509779,5678656.486178231,0.9252460381014197,,0.7737605358204369,803526.148837754
12_13/14,2013/2014,12.0,28.0,2014-03-01,Victoria,4932055.700000001,6.73131160509779,5678656.486178231,0.9252460381014197,,0.5251553833611177,514700.9380858651
13_13/14,2013/2014,13.0,30.0,2014-03-31,Bakerloo,1467235.2000000002,5.14006096193875,6419287.86229113,0.9818123218507876,,0.47620765628655853,284172.84921738773
13_13/14,2013/2014,13.0,30.0,2014-03-31,Central,1467235.2000000002,5.14006096193875,6419287.86229113,0.9818123218507876,,0.5931674572617789,1001977.2156848063
13_13/14,2013/2014,13.0,30.0,2014-03-31,Waterloo & City,1467235.2000000002,5.14006096193875,6419287.86229113,0.9818123218507876,,0.2911784453232008,27152.67692619402
13_13/14,2013/2014,13.0,30.0,2014-03-31,Circle & Hammersmith & City,1467235.2000000002,5.14006096193875,6419287.86229113,0.9818123218507876,,0.6825374688768236,299868.39857127814
13_13/14,2013/2014,13.0,30.0,2014-03-31,District,1467235.2000000002,5.14006096193875,6419287.86229113,0.9818123218507876,,0.5756426195647584,760091.7131889504
13_13/14,2013/2014,13.0,30.0,2014-03-31,Jubilee,1467235.2000000002,5.14006096193875,6419287.86229113,0.9818123218507876,,0.361080926277546,831137.6872797002
13_13/14,2013/2014,13.0,30.0,2014-03-31,Metropolitan,1467235.2000000002,5.14006096193875,6419287.86229113,0.9818123218507876,,0.8416213127841713,604720.7524623169
13_13/14,2013/2014,13.0,30.0,2014-03-31,Northern,1467235.2000000002,5.14006096193875,6419287.86229113,0.9818123218507876,,0.3267668166222802,1120011.431133659
13_13/14,2013/2014,13.0,30.0,2014-03-31,Piccadilly,1467235.2000000002,5.14006096193875,6419287.86229113,0.9818123218507876,,0.5908471568969444,908325.0002570836
13_13/14,2013/2014,13.0,30.0,2014-03-31,Victoria,1467235.2000000002,5.14006096193875,6419287.86229113,0.9818123218507876,,0.40101110204468754,581830.1375697533
01_14/15,2014/2015,1.0,26.0,2014-04-26,Bakerloo,1232270.3,4.272768486807218,5530730.948036049,0.9825801280772981,,0.3958562129951984,244837.68378588228
01_14/15,2014/2015,1.0,26.0,2014-04-26,Central,1232270.3,4.272768486807218,5530730.948036049,0.9825801280772981,,0.49308115945608066,863283.6717867727
01_14/15,2014/2015,1.0,26.0,2014-04-26,Waterloo & City,1232270.3,4.272768486807218,5530730.948036049,0.9825801280772981,,0.24204734037730588,23394.207242191882
01_14/15,2014/2015,1.0,26.0,2014-04-26,Circle & Hammersmith & City,1232270.3,4.272768486807218,5530730.948036049,0.9825801280772981,,0.5673715953326092,258360.65742723038
01_14/15,2014/2015,1.0,26.0,2014-04-26,District,1232270.3,4.272768486807218,5530730.948036049,0.9825801280772981,,0.47851332168086536,654879.9261947186
01_14/15,2014/2015,1.0,26.0,2014-04-26,Jubilee,1232270.3,4.272768486807218,5530730.948036049,0.9825801280772981,,0.30015503987406666,716091.7266415103
01_14/15,2014/2015,1.0,26.0,2014-04-26,Metropolitan,1232270.3,4.272768486807218,5530730.948036049,0.9825801280772981,,0.6996129130992161,521015.39178666286
01_14/15,2014/2015,1.0,26.0,2014-04-26,Northern,1232270.3,4.272768486807218,5530730.948036049,0.9825801280772981,,0.2716308166258338,964979.607895973
01_14/15,2014/2015,1.0,26.0,2014-04-26,Piccadilly,1232270.3,4.272768486807218,5530730.948036049,0.9825801280772981,,0.4911523678809993,782594.7827184178
01_14/15,2014/2015,1.0,26.0,2014-04-26,Victoria,1232270.3,4.272768486807218,5530730.948036049,0.9825801280772981,,0.33334771948504216,501293.2925566884
02_14/15,2014/2015,2.0,28.0,2014-05-24,Bakerloo,4400900.270000004,5.62,5714976.833078485,0.9328805211889579,,0.5206722348524453,252993.9900977792
02_14/15,2014/2015,2.0,28.0,2014-05-24,Central,4400900.270000004,5.62,5714976.833078485,0.9328805211889579,,0.6485528351698412,892042.3414175054
02_14/15,2014/2015,2.0,28.0,2014-05-24,Waterloo & City,4400900.270000004,5.62,5714976.833078485,0.9328805211889579,,0.3183664308329829,24173.54119618478
02_14/15,2014/2015,2.0,28.0,2014-05-24,Circle & Hammersmith & City,4400900.270000004,5.62,5714976.833078485,0.9328805211889579,,0.7462675255199547,266967.45613703365
02_14/15,2014/2015,2.0,28.0,2014-05-24,District,4400900.270000004,5.62,5714976.833078485,0.9328805211889579,,0.6293916640112589,676696.0175453776
02_14/15,2014/2015,2.0,28.0,2014-05-24,Jubilee,4400900.270000004,5.62,5714976.833078485,0.9328805211889579,,0.39479586345497314,739946.9738387152
02_14/15,2014/2015,2.0,28.0,2014-05-24,Metropolitan,4400900.270000004,5.62,5714976.833078485,0.9328805211889579,,0.9202053852806825,538372.038291869
02_14/15,2014/2015,2.0,28.0,2014-05-24,Northern,4400900.270000004,5.62,5714976.833078485,0.9328805211889579,,0.357277768301904,997126.0861056626
02_14/15,2014/2015,2.0,28.0,2014-05-24,Piccadilly,4400900.270000004,5.62,5714976.833078485,0.9328805211889579,,0.6460158831478848,808665.4539780186
02_14/15,2014/2015,2.0,28.0,2014-05-24,Victoria,4400900.270000004,5.62,5714976.833078485,0.9328805211889579,,0.43845440942807234,517992.9344703384
03_14/15,2014/2015,3.0,28.0,2014-06-21,Bakerloo,1431678.62,4.37,6068517.351354901,0.9813536317326669,,0.4048643534350865,268644.73182297475
03_14/15,2014/2015,3.0,28.0,2014-06-21,Central,1431678.62,4.37,6068517.351354901,0.9813536317326669,,0.5043017597317092,947225.9617401394
03_14/15,2014/2015,3.0,28.0,2014-06-21,Waterloo & City,1431678.62,4.37,6068517.351354901,0.9813536317326669,,0.24755539194664328,25668.967430217614
03_14/15,2014/2015,3.0,28.0,2014-06-21,Circle & Hammersmith & City,1431678.62,4.37,6068517.351354901,0.9813536317326669,,0.5802827556089327,283482.6259377801
03_14/15,2014/2015,3.0,28.0,2014-06-21,District,1431678.62,4.37,6068517.351354901,0.9813536317326669,,0.4894024148984344,718557.8601645555
03_14/15,2014/2015,3.0,28.0,2014-06-21,Jubilee,1431678.62,4.37,6068517.351354901,0.9813536317326669,,0.30698539560466775,785721.6539938207
03_14/15,2014/2015,3.0,28.0,2014-06-21,Metropolitan,1431678.62,4.37,6068517.351354901,0.9813536317326669,,0.7155333689815984,571676.8678655542
03_14/15,2014/2015,3.0,28.0,2014-06-21,Northern,1431678.62,4.37,6068517.351354901,0.9813536317326669,,0.27781207250521717,1058810.4084686695
03_14/15,2014/2015,3.0,28.0,2014-06-21,Piccadilly,1431678.62,4.37,6068517.351354901,0.9813536317326669,,0.5023290763979105,858691.2042237319
03_14/15,2014/2015,3.0,28.0,2014-06-21,Victoria,1431678.62,4.37,6068517.351354901,0.9813536317326669,,0.3409334108898,550037.0697074567
04_14/15,2014/2015,4.0,28.0,2014-07-19,Bakerloo,1467460.76,4.85,6323488.506889829,0.98,,0.4493345798993522,279931.9464316603
04_14/15,2014/2015,4.0,28.0,2014-07-19,Central,1467460.76,4.85,6323488.506889829,0.98,,0.5596941726999519,987024.0349818093
04_14/15,2014/2015,4.0,28.0,2014-07-19,Waterloo & City,1467460.76,4.85,6323488.506889829,0.98,,0.27474683087899765,26747.45924430294
04_14/15,2014/2015,4.0,28.0,2014-07-19,Circle & Hammersmith & City,1467460.76,4.85,6323488.506889829,0.98,,0.6440209072547651,295393.26053344354
04_14/15,2014/2015,4.0,28.0,2014-07-19,District,1467460.76,4.85,6323488.506889829,0.98,,0.543158286557759,748748.352721021
04_14/15,2014/2015,4.0,28.0,2014-07-19,Jubilee,1467460.76,4.85,6323488.506889829,0.98,,0.340704615259185,818734.0598993407
04_14/15,2014/2015,4.0,28.0,2014-07-19,Metropolitan,1467460.76,4.85,6323488.506889829,0.98,,0.7941274232404466,595696.0974653056
04_14/15,2014/2015,4.0,28.0,2014-07-19,Northern,1467460.76,4.85,6323488.506889829,0.98,,0.3083268996911449,1103296.7463514132
04_14/15,2014/2015,4.0,28.0,2014-07-19,Piccadilly,1467460.76,4.85,6323488.506889829,0.98,,0.5575048101899006,894769.4546286223
04_14/15,2014/2015,4.0,28.0,2014-07-19,Victoria,1467460.76,4.85,6323488.506889829,0.98,,0.37838147432849656,573147.0946329097
05_14/15,2014/2015,5.0,28.0,2014-08-16,Bakerloo,1528313.4100000001,4.4,6234868.793055721,0.977,,0.40764374258910313,276008.8762847359
05_14/15,2014/2015,5.0,28.0,2014-08-16,Central,1528313.4100000001,4.4,6234868.793055721,0.977,,0.5077637855422245,973191.5139877138
05_14/15,2014/2015,5.0,28.0,2014-08-16,Waterloo & City,1528313.4100000001,4.4,6234868.793055721,0.977,,0.24925485687991544,26372.610427635216
05_14/15,2014/2015,5.0,28.0,2014-08-16,Circle & Hammersmith & City,1528313.4100000001,4.4,6234868.793055721,0.977,,0.5842663900867973,291253.50979483215
05_14/15,2014/2015,5.0,28.0,2014-08-16,District,1528313.4100000001,4.4,6234868.793055721,0.977,,0.4927621568771422,738255.1155340474
05_14/15,2014/2015,5.0,28.0,2014-08-16,Jubilee,1528313.4100000001,4.4,6234868.793055721,0.977,,0.3090928468330751,807260.017048553
05_14/15,2014/2015,5.0,28.0,2014-08-16,Metropolitan,1528313.4100000001,4.4,6234868.793055721,0.977,,0.7204454973727764,587347.7913630723
05_14/15,2014/2015,5.0,28.0,2014-08-16,Northern,1528313.4100000001,4.4,6234868.793055721,0.977,,0.27971924920433766,1087834.7364451352
05_14/15,2014/2015,5.0,28.0,2014-08-16,Piccadilly,1528313.4100000001,4.4,6234868.793055721,0.977,,0.5057775597599099,882229.8235483579
05_14/15,2014/2015,5.0,28.0,2014-08-16,Victoria,1528313.4100000001,4.4,6234868.793055721,0.977,,0.3432739148547186,565114.7986216372
06_14/15,2014/2015,6.0,28.0,2014-09-13,Bakerloo,2111445.069999991,4.37,6126215.061421672,0.975,,0.4048643534350865,271198.9283342901
06_14/15,2014/2015,6.0,28.0,2014-09-13,Central,2111445.069999991,4.37,6126215.061421672,0.975,,0.5043017597317092,956231.9125752307
06_14/15,2014/2015,6.0,28.0,2014-09-13,Waterloo & City,2111445.069999991,4.37,6126215.061421672,0.975,,0.24755539194664328,25913.02055798389
06_14/15,2014/2015,6.0,28.0,2014-09-13,Circle & Hammersmith & City,2111445.069999991,4.37,6126215.061421672,0.975,,0.5802827556089327,286177.8968603677
06_14/15,2014/2015,6.0,28.0,2014-09-13,District,2111445.069999991,4.37,6126215.061421672,0.975,,0.4894024148984344,725389.700741351
06_14/15,2014/2015,6.0,28.0,2014-09-13,Jubilee,2111445.069999991,4.37,6126215.061421672,0.975,,0.30698539560466775,793192.0685218762
06_14/15,2014/2015,6.0,28.0,2014-09-13,Metropolitan,2111445.069999991,4.37,6126215.061421672,0.975,,0.7155333689815984,577112.2063945974
06_14/15,2014/2015,6.0,28.0,2014-09-13,Northern,2111445.069999991,4.37,6126215.061421672,0.975,,0.27781207250521717,1068877.2719917449
06_14/15,2014/2015,6.0,28.0,2014-09-13,Piccadilly,2111445.069999991,4.37,6126215.061421672,0.975,,0.5023290763979105,866855.3921578943
06_14/15,2014/2015,6.0,28.0,2014-09-13,Victoria,2111445.069999991,4.37,6126215.061421672,0.975,,0.3409334108898,555266.663286335
07_14/15,2014/2015,7.0,28.0,2014-10-11,Bakerloo,1787749.74,4.96,6175050.390474557,0.974,,0.45952567346407985,273360.7996971478
07_14/15,2014/2015,7.0,28.0,2014-10-11,Central,1787749.74,4.96,6175050.390474557,0.974,,0.5723882673385076,963854.5473722932
07_14/15,2014/2015,7.0,28.0,2014-10-11,Waterloo & City,1787749.74,4.96,6175050.390474557,0.974,,0.28097820230099557,26119.5870714046
07_14/15,2014/2015,7.0,28.0,2014-10-11,Circle & Hammersmith & City,1787749.74,4.96,6175050.390474557,0.974,,0.658627567006935,288459.1735737574
07_14/15,2014/2015,7.0,28.0,2014-10-11,District,1787749.74,4.96,6175050.390474557,0.974,,0.5554773404796876,731172.1690961359
07_14/15,2014/2015,7.0,28.0,2014-10-11,Jubilee,1787749.74,4.96,6175050.390474557,0.974,,0.34843193643001186,799515.0257279223
07_14/15,2014/2015,7.0,28.0,2014-10-11,Metropolitan,1787749.74,4.96,6175050.390474557,0.974,,0.812138560674766,581712.6757247054
07_14/15,2014/2015,7.0,28.0,2014-10-11,Northern,1787749.74,4.96,6175050.390474557,0.974,,0.31531988092125335,1077397.863053521
07_14/15,2014/2015,7.0,28.0,2014-10-11,Piccadilly,1787749.74,4.96,6175050.390474557,0.974,,0.5701492491838983,873765.5590215883
07_14/15,2014/2015,7.0,28.0,2014-10-11,Victoria,1787749.74,4.96,6175050.390474557,0.974,,0.3869633221998645,559692.9901360804
08_14/15,2014/2015,8.0,28.0,2014-11-08,Bakerloo,1449503.3400000003,4.65,6245713.387832757,0.981,,0.4308053188725749,276488.95124982693
08_14/15,2014/2015,8.0,28.0,2014-11-08,Central,1449503.3400000003,4.65,6245713.387832757,0.981,,0.5366140006298509,974884.230861147
08_14/15,2014/2015,8.0,28.0,2014-11-08,Waterloo & City,1449503.3400000003,4.65,6245713.387832757,0.981,,0.26341706465718334,26418.481524973926
08_14/15,2014/2015,8.0,28.0,2014-11-08,Circle & Hammersmith & City,1449503.3400000003,4.65,6245713.387832757,0.981,,0.6174633440690017,291760.1004539062
08_14/15,2014/2015,8.0,28.0,2014-11-08,District,1449503.3400000003,4.65,6245713.387832757,0.981,,0.5207600066997071,739539.1966969032
08_14/15,2014/2015,8.0,28.0,2014-11-08,Jubilee,1449503.3400000003,4.65,6245713.387832757,0.981,,0.32665494040313614,808664.121618379
08_14/15,2014/2015,8.0,28.0,2014-11-08,Metropolitan,1449503.3400000003,4.65,6245713.387832757,0.981,,0.7613799006325932,588369.3924587704
